Professor Name,Professor Rating,Professor Department,Difficulty
Sara Murphy,4.2,Literature,3.0
Will Mccormack,2.5,Writing,4.2
Jessica Goethals,4.5,Languages,1.8
Jay Rosen,2.6,Journalism,2.1
Stacey Lutz,2.5,Psychology,3.4
Evelyn Vitz,4.4,Religious Studies,2.2
Tamar Schlick,2.6,Mathematics,3.3
Michael Norman,3.7,Journalism,3.8
Randy Mowry,4.2,Psychology,3.1
Edward Sullivan,4.5,Art History,3.5
Tom Bishop,1.4,French,3.7
Haruko Momma,3.4,English,1.9
Joy Connolly,4.4,Classics,2.5
Walter Reinhold,4.3,Music,2.4
Ann Morning,4.4,Sociology,3.6
Lawrence Watkins,4.4,Sociology,1.4
Davida Chang,3.7,History,3.3
Shouleh Vatanabadi,3.5,History,2.4
Neil Brenner,3.9,Sociology,3.7
Rodney Benson,2.8,Communication,3.8
Erich Dietrich,4.5,Communication,3.6
David Damstra,3.9,Writing,3.0
Joan Horvath,3.6,Film,3.1
Fritz Ertl,4.2,Theater,3.2
David Irving,4.5,Film,2.4
El Schucking,3.4,Science,2.2
Jenny Leidner,2.9,Writing,3.7
Paul Thompson,4.9,Film & Television,2.6
Karen Hornick,4.2,English,2.7
Judith Greenberg,4.1,Writing,3.1
John Bell,3.1,Philosophy,2.7
Lori Nicholas,3.6,Science,3.4
Aditi Thapar,3.5,Economics,3.7
Mark Smith,3.0,History,3.3
Ingrid Ellen,4.5,Social Science,3.5
Gabrielle Starr,3.6,Literature,3.5
Todd Disotell,4.2,Anthropology,3.4
Dan Rudofossi,4.8,Psychology,2.2
Mary Roma,4.1,Writing,1.4
Bob Vorlicky,4.4,Theater,3.8
Lynne Kiorpes,4.1,Arts & Sciences,3.6
Payman Norestah,3.3,Mathematics,2.7
Charles Affron,3.2,Film,3.4
Marion Casey,3.1,Ethnic Studies,3.4
Leonard Wantchekon,1.5,Political Science,2.9
Rachel Corkle,4.2,French,2.8
Jeff Goodwin,3.8,Sociology,2.5
Tycho Sleator,3.1,Physics,3.3
Stephen Small,4.1,Science,3.7
Anneta Greenlee,3.2,Russian Studies,3.0
Randall White,3.5,Anthropology,3.1
Jill Claster,4.7,History,2.2
Alyson Kiesel,4.6,English,3.5
Jason Lucero,4.5,Writing,3.2
Caroleen Marji,4.0,Political Science,3.5
Carolyn Dinshaw,3.8,Women'S Studies,2.6
Kimberley Monteyne,4.3,Film,2.0
Matthew Evans,3.0,Philosophy,3.3
Elizabeth Diggs,2.5,Writing,2.0
Tracy Daraviras,4.2,Education,2.4
Floyd Hammack,2.8,Education,3.1
Nathaniel Bennett,4.6,English,3.6
Faye Ginsburg,5.0,Anthropology,3.3
Jo Ellen Fisherkeller,2.3,Communication,3.3
Fran Stern,4.2,Journalism,3.9
Robert Jeske,3.0,Liberal Arts & Sciences,2.5
James Bryan Wolcott,4.9,Languages,2.9
Elihu Rose,4.3,History,2.9
Scott Eggebeen,2.3,Psychology,4.3
Henrie Goldwyn,3.9,French,2.1
Susan Anton,4.4,Anthropology,3.8
Irina Belededova,4.8,Languages,2.1
Marco Aponte,4.8,Languages,3.3
Shelly Rice,4.1,Fine Arts,2.5
Catherine King,3.9,Science,2.6
Shimon Dotan,4.6,Not Specified,2.1
Jacqueline Mattis,4.9,Psychology,2.6
Kim Phillips-Fein,4.0,History,2.8
Nancy Jackson,3.0,Nursing,4.3
Janusz Ordover,2.5,Economics,2.0
Alessandro Lizzeri,2.4,Economics,3.4
Helen Nissenbaum,1.2,Communication,2.2
Ruth Horowitz,3.6,Sociology,2.4
Deborah Willis,3.3,Film,2.2
Panos Ipeirotis,4.6,Business,2.3
Carlos Seidler,3.8,Languages,3.0
Mark Read,3.4,Journalism,2.8
Thomas Abercrombie,1.8,Latin American Studies,3.3
Jessica Shimmin,3.2,Communication,3.3
Susan Gale,2.1,Economics,2.5
Bernard Feigenbaum,1.8,Economics,4.0
Seyhan Arkonac,4.4,Economics,3.0
Onisiforos Iordanou,4.7,Economics,3.3
Hector Feliciano,5.0,Art History,2.4
Matthew Gilgoff,5.0,Writing,4.7
Richard Heffner,3.8,Communication,3.5
Kenneth Peacock,1.6,Music,3.4
Richard Hull,4.0,History,2.5
Alex Dontoh,4.1,Accounting,2.7
Khaled Fahmy,4.4,Near Eastern Studies,2.8
Philip Taylor,4.3,Music Performance,3.0
Carolyn Wagner,3.3,Education,2.2
Vivien Orbach-Smith,4.3,Journalism,2.6
Erika Devries,4.3,Photography,1.7
Charles Peskin,4.6,Mathematics,2.7
Rebecca Mercer-White,4.3,Education,2.0
Olof Widlund,1.9,Mathematics,3.2
Bonnie Selterman,2.9,Communication,2.6
Danny Carragher,4.9,Psychology,1.6
Chris Straayer,4.7,Film,3.2
Barry Cohen,4.7,Psychology,4.0
Denny Lawrence,4.1,Television,2.0
Tom Christo,3.0,Information Systems,5.0
Kenneth Crab,4.5,Film,2.5
Pat Rock,4.6,Humanities,3.4
Dorothea Barrett,4.2,Literature,2.5
Linda Gordon,4.8,History,2.5
Kerry Moore,2.8,Theater,3.4
Marie Helene Charlap,4.4,Social Work,2.6
June Trafton,4.8,Social Work,4.7
Libby O'Connor,3.4,Social Work,1.5
Rick Greenberg,4.5,Social Work,1.0
Allen Levine,4.3,Social Work,2.0
Kelly Reichardt,3.5,Film,3.0
Helen Polson,4.6,Writing,3.6
Sang-Jin Bae,4.6,Animation,2.9
Jesse Bransford,4.9,Art Studio,3.0
Paul Urcioli,5.0,Theater,3.5
Robert Boynton,3.5,Journalism,4.2
Frederico Bertagnoli,3.8,Communication,2.5
Ken Liotti,3.1,Film & Television,2.4
Beth Epstein,3.7,French,3.3
Maeve Adams,3.7,English,3.8
Luke Fiske,3.6,Writing,4.0
Stacy Pies,3.9,Writing,3.7
Barney Bramham,4.8,Mathematics,2.8
Barry Flood,4.3,Art History,3.3
Maaza Mengiste,3.7,Writing,3.4
Colin Cheney,2.8,Writing,4.1
Una Chaudhuri,4.1,Dramatic Arts,2.9
Olivier Pauluis,1.8,Mathematics,3.6
Michael Johnson,2.9,Writing,3.4
Heather Lukes,4.8,English,3.0
Anne Rademacher,4.2,Sociology,3.8
Francesco Ianni,3.3,Statistics,2.1
Zvi Ben-Dor,3.4,Cultural Studies,2.6
Edgar E Coons,3.1,Psychology,3.3
Patricia Lennox,4.1,English,3.0
Tzu Wen/ Vincent Cheng,3.9,Communication,2.6
Deborah Stein,3.6,Writing,2.9
Bob Richter,5.0,Communication,1.7
Elaine Freedgood,2.8,English,3.9
Robert Whitelaw,4.7,Finance,4.3
William Rauscher,4.7,Foreign Languages,1.3
Etem Erol,3.3,Near Eastern Studies,2.0
Amaya Amell,4.9,Spanish,2.1
Georgina Dopico Black,4.9,Spanish,3.0
Jeff Strabone,4.2,Writing,3.2
Stan Mintchev,2.4,Mathematics,4.7
Sydney Scott,4.7,Communication,1.9
